sim,radiotype,radio,carrier,mcc,mnc,area,cellid,enbrnc,lcid,xarfcn,unit,band,fc,sigl,asu,signal,lat,lon,acc,time,speed,bearing,alt,api,device,rsrq,rssnr,ss,cqi,ta,rssi_cdma,rssi_evdo,ecio_cdma,ecio_evdo,n_radiotype,n_xarfcn,n_unit,n_band,n_fc,n_signal,n_rsrq
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,57,-83,35.7670731,51.5633178,110,1.71844E+12,-2000,-2000,1597.4,33,Xiaomi_Redmi_Note_8,-14,5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,57,-83,35.7672856,51.5630042,116.1,1.71844E+12,0.5,309.9,1595.9,33,Xiaomi_Redmi_Note_8,-14,5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23113997,90289,13,0,139,0,0,4,57,-83,35.7673044,51.5619996,8.4,1.71844E+12,0.3,234.7,1595.9,33,Xiaomi_Redmi_Note_8,-14,5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23113997,90289,13,0,139,0,0,4,53,-87,35.7673145,51.5620784,9.4,1.71844E+12,0.2,360,1597.3,33,Xiaomi_Redmi_Note_8,-15,0,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23113997,90289,13,0,139,0,0,4,55,-85,35.7673164,51.562081,17.2,1.71844E+12,0.9,182.1,1597.3,33,Xiaomi_Redmi_Note_8,-15,-5,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23113997,90289,13,0,139,0,0,4,53,-87,35.7672854,51.5620759,11.1,1.71844E+12,1.1,171.5,1597.4,33,Xiaomi_Redmi_Note_8,-16,-13,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,59,-81,35.7672503,51.5620331,9.5,1.71844E+12,0.8,190.2,1597.4,33,Xiaomi_Redmi_Note_8,-14,-2,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,59,-81,35.7672196,51.5619721,7.4,1.71844E+12,0.9,225.1,1597.4,33,Xiaomi_Redmi_Note_8,-14,-2,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,59,-81,35.7671779,51.561929,6.8,1.71844E+12,1,210.6,1595.9,33,Xiaomi_Redmi_Note_8,-14,-2,-1000,-1,-1,,,,,,,,,,,
2,LTE,LTE,IR-MCI,432,11,45214,23839500,93123,12,0,220,0,0,4,62,-78,35.7671471,51.5618682,7.1,1.71844E+12,1.1,214,1597.4,33,Xiaomi_Redmi_Note_8,-14,6,-1000,-1,-1,,,,,,,,,,,
